Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0ACK5	DEOR_ECOLI	deoR	Deoxyribose operon repressor	3	3	745506	1.06206e+06	1.27457e+06	1.29029e+06	1.29344e+06	789108
P0ACK8	FUCR_ECOLI	fucR	L-fucose operon activator	1	1				684380	1.16275e+06	
P0ACL0	GLPR_ECOLI	glpR	Glycerol-3-phosphate regulon repressor	8	8	1.00656e+07	1.1371e+07	1.03259e+07	9.07477e+06	9.89767e+06	1.02793e+07
P0ACL2	EXUR_ECOLI	exuR	Exu regulon transcriptional regulator	6	6	6.06215e+06	6.33412e+06	8.3242e+06	6.87936e+06	7.43628e+06	7.67413e+06
P0ACL9	PDHR_ECOLI	pdhR	Pyruvate dehydrogenase complex repressor	5	5	6.13497e+06	6.08238e+06	6.96787e+06	6.75739e+06	6.81255e+06	6.87786e+06
P0ACM2	YDFH_ECOLI	ydfH	Uncharacterized HTH-type transcriptional regulator YdfH	3	3	7.13496e+06	8.39039e+06	7.80984e+06	8.29825e+06	8.34847e+06	8.22108e+06
P0ACM5	YEGW_ECOLI	yegW	Uncharacterized HTH-type transcriptional regulator YegW	2	2	1.58692e+06	1.61974e+06	1.65059e+06	1.5061e+06	1.4605e+06	1.73169e+06
P0ACN4	ALLR_ECOLI	allR	HTH-type transcriptional repressor AllR	6	6	1.45991e+07	1.46154e+07	1.48195e+07	1.46986e+07	1.48901e+07	1.51074e+07
P0ACN7	CYTR_ECOLI	cytR	HTH-type transcriptional repressor CytR	3	3	3.85539e+06	3.60755e+06	3.72519e+06	3.58702e+06	3.5185e+06	3.51628e+06
P0ACP1	CRA_ECOLI	cra	Catabolite repressor/activator	10	10	1.51892e+07	1.5726e+07	1.50285e+07	1.47053e+07	1.50461e+07	1.46285e+07
