Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8A2	P0A8A2		yeeN		8742710.0	9307060.0	8985260.0	9477100.0	8815050.0	8020160.0	0	0.4095082955236423	0.06531995732757061	False	0.028384736016727655	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75914	P75914		ycdX		14965500.0	16142700.0	14858900.0	16043700.0	15279100.0	17029400.0	0	0.4109288133275469	-0.05984293374192175	False	0.02841087297438578	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P68206	P68206		yjbJ		2113690.0	2072020.0	2300490.0	1831320.0	2214210.0	1341390.0	0	0.411138676526209	0.19932935303944876	False	0.028437009932043913	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P52007	P52007		yecM		1926630.0	1918220.0	1955390.0	1872670.0	1949380.0	1641740.0	0	0.4113561149179901	0.0745206014419902	False	0.02846314688970204	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37626	P37626		yhiI		5204470.0	5259360.0	5200530.0	5271620.0	5237270.0	5055870.0	0	0.41136526825365405	0.01752924645105523	False	0.02848928384736017	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAI9	P0AAI9		fabD		10636700.0	10419700.0	9774790.0	9505710.0	10680800.0	10037900.0	0	0.41262809320191896	-0.053549916655152796	False	0.028515420805018298	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37652	P37652		bcsB		3660820.0	3770380.0	3727260.0	3804910.0	3545700.0	3979160.0	0	0.41297010087875213	-0.04266379623925395	False	0.028541557762676424	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P12994	P12994		ybhB		910735.0	833512.0	1069350.0	1017540.0	706387.0	677831.0	0	0.41352414506469193	0.20571332201211429	False	0.028567694720334557	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEE3	P0AEE3		degS		1073960.0	1023310.0	1055210.0	1022440.0	832421.0	1026570.0	0	0.41405308052620915	-0.1022662094768076	False	0.028593831677992683	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7L8	P0A7L8		rpmA		138971000.0	140071000.0	138320000.0	142143000.0	138935000.0	103283000.0	0	0.41412610316040116	0.13352044140218963	False	0.02861996863565081	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75829	P75829		ybjX		2701590.0	2545940.0	2673400.0	2597080.0	2640670.0	2360420.0	0	0.4143023562766071	0.05637966178603711	False	0.028646105593308942	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P23869	P23869		ppiB		40718700.0	40034900.0	40848700.0	39900400.0	40511600.0	34918500.0	0	0.41618985671845954	0.0680711260625471	False	0.028672242550967068	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
Q46845	Q46845		yghU		676264.0	624604.0	663666.0	600740.0	516449.0	613401.0	0	0.41712911249414325	-0.10422352205785708	False	0.0286983795086252	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P09424	P09424		mtlD		2315760.0	2403190.0	2151600.0	2171080.0	2160870.0	2068880.0	0	0.4176139639133584	-0.06616647126026098	False	0.028724516466283326	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
