Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P32664	P32664		nudC		1.18644e+06	1.07894e+06	1.10595e+06	1.09666e+06	1.05703e+06	1.17609e+06
P32680	P32680		yjaG		1.81892e+06	1.80036e+06	1.85113e+06	1.64406e+06	1.84072e+06	1.72879e+06
P32684	P32684		rluF		2.85241e+06	2.58288e+06	2.77936e+06	2.81906e+06	2.93015e+06	2.95962e+06
P32685	P32685		yjbD		421210	410469	415269	421560	426822	385244
P32695	P32695		dusA		1.54261e+06	1.52262e+06	1.52628e+06	1.49809e+06	1.42803e+06	1.33423e+06
P33025	P33025		psuG		1.96765e+06	1.88989e+06	1.84853e+06	1.81563e+06	1.95807e+06	2.01441e+06
P33030	P33030		yeiR		1.67521e+06	1.82709e+06	1.5562e+06	1.51107e+06	1.61359e+06	1.6161e+06
P33136	P33136		mdoG		1.19539e+07	1.16498e+07	1.22146e+07	1.18864e+07	1.1982e+07	1.21511e+07
P33195	P33195		gcvP		5.4968e+06	5.28269e+06	5.41905e+06	5.57081e+06	5.35662e+06	5.48665e+06
P33218	P33218		yebE		2.62336e+06	2.56199e+06	2.63925e+06	2.48944e+06	2.63853e+06	2.5614e+06
P33219	P33219		yebF		562589	523656	502795	545635	522911	503987
P33225	P33225		torA		3.95909e+06	3.33873e+06	3.41371e+06	4.13169e+06	3.08463e+06	3.99644e+06
P33235	P33235		flgK		3.14518e+06	2.69507e+06	2.6358e+06	3.03688e+06	2.70698e+06	2.83422e+06
P33355	P33355		yehS		1.57083e+06	1.43583e+06	1.52455e+06	1.49477e+06	1.64508e+06	1.65887e+06
P33362	P33362		osmF		2.04579e+06	1.96471e+06	2.20114e+06	1.94577e+06	1.58133e+06	1.79634e+06
P33363	P33363		bglX		3.98204e+06	3.94616e+06	3.91625e+06	3.87481e+06	3.90865e+06	4.05378e+06
P33570	P33570		tktB		2.25034e+06	2.26332e+06	2.31778e+06	2.30918e+06	2.34347e+06	2.21218e+06
P33590	P33590		nikA		3.50455e+06	3.54025e+06	3.47093e+06	3.4126e+06	3.46331e+06	3.40298e+06
P33599	P33599		nuoC		1.49445e+07	1.51425e+07	1.51025e+07	1.50635e+07	1.50819e+07	1.4981e+07
P33602	P33602		nuoG		1.27401e+07	1.32969e+07	1.32167e+07	1.30614e+07	1.33479e+07	1.30933e+07
P33643	P33643		rluD		2.94772e+06	3.16208e+06	3.32605e+06	3.0074e+06	3.27373e+06	2.90929e+06
