Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A8I5	P0A8I5		trmB		6.80584e+06	6.5242e+06	5.79247e+06	6.08839e+06	7.03295e+06	6.12541e+06
P0A8I8	P0A8I8		rlmH		2.67498e+06	2.67618e+06	2.62136e+06	2.59877e+06	2.67095e+06	2.57651e+06
P0A8J2	P0A8J2		dnaT		1.24312e+06	1.21629e+06	1.02713e+06	1.20005e+06	1.27519e+06	1.05188e+06
P0A8J4	P0A8J4		ybeD		1.27497e+07	1.31177e+07	1.25997e+07	1.20971e+07	1.4345e+07	1.21439e+07
P0A8J8	P0A8J8		rhlB		5.48204e+06	5.47107e+06	5.12646e+06	5.16029e+06	5.2696e+06	5.33858e+06
P0A8K1	P0A8K1		psd		4.22322e+06	4.44513e+06	4.4643e+06	4.27781e+06	4.52246e+06	4.50027e+06
P0A8K5	P0A8K5		yaeP		2.04613e+06	2.08009e+06	1.99044e+06	2.11773e+06	2.2761e+06	1.84695e+06
P0A8L1	P0A8L1		serS		2.96288e+07	2.91729e+07	2.96454e+07	2.93246e+07	2.96867e+07	2.93096e+07
P0A8L7	P0A8L7		yciU		2.17596e+06	2.08582e+06	2.08996e+06	1.86615e+06	1.90677e+06	2.11017e+06
P0A8M0	P0A8M0		asnS		3.40606e+07	3.44037e+07	3.56637e+07	3.53186e+07	3.45034e+07	3.58686e+07
P0A8M3	P0A8M3		thrS		1.1752e+07	1.19312e+07	1.0859e+07	1.07636e+07	1.16038e+07	1.11016e+07
P0A8M6	P0A8M6		yeeX		1.161e+07	1.1178e+07	1.04054e+07	1.12525e+07	1.06525e+07	1.04939e+07
P0A8N0	P0A8N0		matP		409542	374292	480589	423489	393096	434313
P0A8N3	P0A8N3		lysS		3.68522e+07	3.66885e+07	3.589e+07	3.66566e+07	3.65279e+07	3.58944e+07
P0A8N5	P0A8N5		lysU		2.07609e+07	2.08614e+07	1.96842e+07	1.93742e+07	2.05112e+07	1.95062e+07
P0A8N7	P0A8N7		epmA		2.98339e+06	3.16151e+06	3.05536e+06	3.0737e+06	2.9161e+06	3.15003e+06
P0A8P3	P0A8P3		yggX		2.1312e+07	2.12753e+07	2.07067e+07	2.16575e+07	2.14513e+07	2.07332e+07
P0A8Q0	P0A8Q0		frdC		2.67618e+06	2.70114e+06	2.75736e+06	2.65308e+06	2.68599e+06	2.41685e+06
P0A8Q6	P0A8Q6		clpS		1.39888e+06	1.51418e+06	1.39435e+06	1.45502e+06	1.52506e+06	1.41221e+06
P0A8R0	P0A8R0		rraA		1.90869e+07	1.88326e+07	1.81826e+07	1.85768e+07	1.76557e+07	1.877e+07
P0A8S1	P0A8S1		iciA		3.14044e+06	3.05722e+06	3.07561e+06	3.16844e+06	3.23259e+06	3.01503e+06
P0A8T1	P0A8T1		prmA		8.00227e+06	7.70994e+06	8.33834e+06	8.26004e+06	7.78287e+06	7.58796e+06
P0A8T7	P0A8T7		rpoC		5.33533e+07	5.34044e+07	5.18311e+07	5.17215e+07	5.35115e+07	5.1245e+07
P0A8U0	P0A8U0		syd		801468	787054	642698	604508	660452	553007
P0A8U6	P0A8U6		metJ		8.34508e+06	8.29763e+06	8.57151e+06	8.45218e+06	8.10746e+06	8.54188e+06
P0A8V2	P0A8V2		rpoB		6.90107e+07	6.89008e+07	6.78624e+07	6.85163e+07	6.97552e+07	6.89942e+07
P0A8V6	P0A8V6		fadR		6.54012e+06	6.32768e+06	6.79619e+06	7.12578e+06	6.31476e+06	6.4076e+06
P0A8W0	P0A8W0		nanR		2.82841e+06	2.78355e+06	2.67807e+06	2.6978e+06	2.69226e+06	2.82914e+06
P0A8W2	P0A8W2		slyA		1.09807e+07	1.03928e+07	1.1376e+07	1.04495e+07	1.05241e+07	1.09794e+07
P0A8W5	P0A8W5		yqgE		3.04612e+06	3.11559e+06	2.9808e+06	2.87329e+06	3.13237e+06	2.99236e+06
P0A8W8	P0A8W8		yfbU		1.97706e+07	2.00492e+07	2.04422e+07	2.00014e+07	2.0508e+07	2.03316e+07
P0A8X0	P0A8X0		yjgA		7.08691e+06	6.88058e+06	6.96246e+06	6.95414e+06	7.07705e+06	6.75247e+06
P0A8X2	P0A8X2		yceI		1.07364e+06	1.07161e+06	1.01262e+06	1.12669e+06	989072	1.11176e+06
P0A8Y1	P0A8Y1		yjjG		1.15785e+06	1.15685e+06	1.19644e+06	1.34092e+06	1.31229e+06	1.22713e+06
P0A8Y3	P0A8Y3		yihX		3.00807e+06	2.97806e+06	3.16358e+06	3.16769e+06	3.00704e+06	3.13799e+06
P0A8Y5	P0A8Y5		yidA		4.29742e+06	4.43448e+06	4.25876e+06	4.36889e+06	4.40816e+06	4.42375e+06
P0A8Z0	P0A8Z0		yciA		2.05719e+06	2.04053e+06	2.08499e+06	1.94577e+06	2.05262e+06	2.06358e+06
P0A8Z3	P0A8Z3		ybgC		615736	630780	459269	367677	915647	597093
P0A8Z7	P0A8Z7		yqiA		396792	423287	423662	367493	409413	391163
P0A903	P0A903		bamC		2.00695e+07	1.9865e+07	1.90476e+07	1.91664e+07	2.00177e+07	1.82918e+07
P0A905	P0A905		slyB		2.91434e+07	2.87895e+07	2.89888e+07	2.90425e+07	2.96845e+07	2.79205e+07
P0A908	P0A908		mipA		1.9419e+06	2.05957e+06	1.88055e+06	1.81628e+06	2.19733e+06	1.89415e+06
P0A910	P0A910		ompA		5.58168e+08	5.44656e+08	5.39175e+08	5.4576e+08	5.42008e+08	5.23319e+08
P0A912	P0A912		pal		5.74627e+07	5.8612e+07	5.50939e+07	5.36153e+07	5.79819e+07	5.36334e+07
P0A915	P0A915		ompW		1.72637e+07	1.6891e+07	1.49335e+07	1.47656e+07	1.73264e+07	1.57672e+07
P0A917	P0A917		ompX		1.59086e+07	1.61507e+07	1.52607e+07	1.49548e+07	1.63472e+07	1.52205e+07
P0A921	P0A921		pldA		1.83845e+06	1.8181e+06	1.72428e+06	1.77361e+06	1.77347e+06	1.63669e+06
P0A927	P0A927		tsx		1.02771e+07	1.02158e+07	9.79707e+06	9.70306e+06	1.01536e+07	9.50149e+06
P0A932	P0A932		gfcE		1.4728e+07	1.44606e+07	1.37175e+07	1.40062e+07	1.44163e+07	1.33209e+07
P0A935	P0A935		mltA		5.55269e+06	5.49556e+06	5.73069e+06	5.47507e+06	5.49738e+06	5.55633e+06
P0A937	P0A937		bamE		9.0743e+06	9.13894e+06	8.2453e+06	7.98363e+06	9.71358e+06	8.32572e+06
P0A940	P0A940		bamA		1.42563e+07	1.44388e+07	1.36665e+07	1.3827e+07	1.43975e+07	1.37471e+07
P0A944	P0A944		rimI		570471	536909	657418	856456	567531	866465
P0A951	P0A951		speG		1.42245e+06	1.20626e+06	1.31369e+06	1.35144e+06	1.1221e+06	1.37988e+06
P0A953	P0A953		fabB		3.40873e+07	3.33095e+07	3.32865e+07	3.29936e+07	3.27869e+07	3.23255e+07
P0A955	P0A955		eda		2.92951e+07	2.91048e+07	2.88113e+07	2.80316e+07	2.91946e+07	2.90335e+07
P0A959	P0A959		alaA		1.85445e+06	1.81346e+06	1.8878e+06	1.91865e+06	1.825e+06	1.70234e+06
