Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P02925	P02925		rbsB		1.22628e+07	1.1746e+07	1.20011e+07	1.19683e+07	1.19484e+07	1.15074e+07
P02930	P02930		tolC		2.24044e+07	2.21908e+07	2.4717e+07	2.358e+07	2.48712e+07	2.46375e+07
P02931	P02931		ompF		4.00493e+07	3.89081e+07	4.18967e+07	3.98983e+07	4.1439e+07	4.0412e+07
P02942	P02942		tsr		1.4946e+07	1.45114e+07	1.46628e+07	1.49057e+07	1.41693e+07	1.40214e+07
P02943	P02943		lamB		1.68999e+06	1.61105e+06	1.51834e+06	1.53898e+06	1.59042e+06	1.57154e+06
P03004	P03004		dnaA		2.10687e+06	2.09428e+06	2.38795e+06	2.26458e+06	2.43134e+06	2.33485e+06
P03018	P03018		uvrD		4.7012e+06	4.70445e+06	4.7329e+06	4.56761e+06	4.63063e+06	4.79947e+06
P03024	P03024		galR		1.2753e+06	1.42768e+06	1.43183e+06	1.32886e+06	1.4063e+06	1.28068e+06
P03817	P03817		mioC		9.98104e+06	9.50227e+06	1.00609e+07	9.40363e+06	9.85332e+06	9.78527e+06
P03841	P03841		malM		1.02283e+07	9.58304e+06	1.05914e+07	9.83827e+06	1.02406e+07	1.07734e+07
P04036	P04036		dapB		5.20257e+06	5.14623e+06	5.14833e+06	5.32099e+06	4.97127e+06	5.35092e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				5.7549e+06	5.7345e+06		5.78713e+06		
P04079	P04079		guaA		2.15312e+07	2.13326e+07	2.0865e+07	2.12741e+07	2.0979e+07	2.08319e+07
P04335	P04335		frsA		4.48811e+06	4.62617e+06	4.73698e+06	4.5505e+06	4.63611e+06	4.49773e+06
P04425	P04425		gshB		1.52657e+07	1.48874e+07	1.52454e+07	1.54063e+07	1.5106e+07	1.5099e+07
P04693	P04693		tyrB		3.61734e+06	3.74214e+06	3.5958e+06	3.58842e+06	3.75508e+06	3.59042e+06
